2024062024	12:30:03	bb75982d-dd2d-4b68-b34e-30e2191dd9ad	/new-page.html	GET
2024062024	12:30:03	2fac2f29-7833-414f-a2ed-29ea9546ed29	/img/item-7.jpeg	GET
2024062024	12:30:49	d5a2e6c0-2a86-4f50-a777-ba866cb787cb	/new-page.html	GET
2024062024	02:21:15	818a55a7-d2b0-415a-986a-464be8bc3190	GET	undefined	/index
2024062024	02:21:15	fa154c77-24af-43e6-b722-b7de7cb676f6	GET	undefined	/img/item-7.jpeg
2024062024	02:27:12	b302dc1b-d277-4e7e-af6e-251ba53a033f	GET	undefined	/data/data.json
2024062024	02:27:17	b9e72615-bb8d-4c90-b8a1-c09ce2dd7911	GET	undefined	/new-page.html
2024062024	02:27:17	2cbf94ec-2a35-471b-849a-99e7ba1fc9a9	GET	undefined	/img/item-7.jpeg
2024062024	03:14:05	39fac759-f21b-41b8-b576-dc96576d4027	OPTIONS	https://www.google.com	/
2024062024	03:14:05	28df4f32-c4b4-44f7-a360-6a5cd99f085e	GET	https://www.google.com	/
2024062024	03:25:11	72df99c8-72fe-407b-8bd3-b694db6e6dd3	GET	undefined	/new-page.htm
2024062024	03:26:04	d673411b-eefa-40da-8d39-e4adb43307b6	GET	undefined	/new-page.htm
2024062024	03:26:34	fdb1cf51-9de4-4112-96ce-d4ac8f68e581	GET	undefined	/
2024062024	03:48:31	bee1fd66-9629-491b-99c1-4519edecd993	GET	undefined	/dave
2024062024	03:48:38	7cb7131f-7532-4adf-a18d-377e1647ad27	GET	undefined	/dave.json
2024062024	03:49:44	dea62cea-cce6-488f-afe4-0b82918baf66	GET	undefined	/dave.json
2024062024	03:49:57	5a851d67-c907-4dc6-b370-2e7350964443	GET	undefined	/dave.json
2024062024	03:49:58	4854bd05-000d-483b-9750-2fb7ef2c5805	GET	undefined	/dave.json
2024062024	03:50:01	c674f05e-68c2-4709-8f28-56aae5f617e0	GET	undefined	/dave.json
2024062024	03:50:05	9fe7686e-4a12-412e-96b1-9ab3ba7063e0	GET	undefined	/dave
2024062024	04:09:59	5f8a7557-0ae0-455e-b80e-2e139fedfe8d	GET	undefined	/subdir
2024062024	04:11:03	f089e9ba-4923-43dc-b9fa-44baf8f63c51	GET	undefined	/subdir/test
2024062024	04:11:07	375d86dc-0bd8-419d-aeb4-8f11eaaf11f5	GET	undefined	/subdir/index
2024062024	04:11:11	22c8bb8d-147f-4446-8d15-37da743bfb14	GET	undefined	/subdir/haha
2024062024	04:19:18	4a1cbfac-5a2b-4ccf-92ea-2d088d7422ae	GET	undefined	/index
2024062024	04:19:18	dd4140d7-459f-432c-be5d-8b8e349bcca7	GET	undefined	/img/item-7.jpeg
2024062024	04:19:26	538fb2b9-361f-4a1c-a60c-6f6c817c9ae7	GET	undefined	/new-page.html
2024062024	04:19:26	c1d4a578-b455-4da6-ae05-c06ac053562e	GET	undefined	/img/item-7.jpeg
2024062024	04:19:41	4f3f3293-ce39-4f64-9398-32746f76962f	GET	undefined	/new-page.html
2024062024	04:19:41	015ea3af-5f16-4185-ba56-05d113f659db	GET	undefined	/img/item-7.jpeg
